,date,pcr
0,2006-11-02 00:00:00,0.61
1,2006-11-03 00:00:00,0.64
2,2006-11-06 00:00:00,0.55
3,2006-11-07 00:00:00,0.57
4,2006-11-08 00:00:00,0.68
5,2006-11-09 00:00:00,0.61
6,2006-11-10 00:00:00,0.79
7,2006-11-13 00:00:00,0.59
8,2006-11-14 00:00:00,0.58
9,2006-11-15 00:00:00,0.52
10,2006-11-16 00:00:00,0.53
11,2006-11-17 00:00:00,0.47
12,2006-11-20 00:00:00,0.54
13,2006-11-21 00:00:00,0.62
14,2006-11-22 00:00:00,0.63
15,2006-11-24 00:00:00,0.52
16,2006-11-27 00:00:00,0.68
17,2006-11-28 00:00:00,0.65
18,2006-11-29 00:00:00,0.53
19,2006-11-30 00:00:00,0.58
20,2006-12-01 00:00:00,0.59
21,2006-12-04 00:00:00,0.64
22,2006-12-05 00:00:00,0.57
23,2006-12-06 00:00:00,0.54
24,2006-12-07 00:00:00,0.69
25,2006-12-08 00:00:00,0.55
26,2006-12-11 00:00:00,0.57
27,2006-12-12 00:00:00,0.7
28,2006-12-13 00:00:00,0.57
29,2006-12-14 00:00:00,0.45
30,2006-12-15 00:00:00,0.5
31,2006-12-18 00:00:00,0.59
32,2006-12-19 00:00:00,0.67
33,2006-12-20 00:00:00,0.54
34,2006-12-21 00:00:00,0.45
35,2006-12-22 00:00:00,0.66
36,2006-12-26 00:00:00,0.62
37,2006-12-27 00:00:00,0.68
38,2006-12-28 00:00:00,0.73
39,2006-12-29 00:00:00,0.54
40,2007-01-03 00:00:00,0.59
41,2007-01-04 00:00:00,0.51
42,2007-01-05 00:00:00,0.59
43,2007-01-08 00:00:00,0.71
44,2007-01-09 00:00:00,0.67
45,2007-01-10 00:00:00,0.58
46,2007-01-11 00:00:00,0.54
47,2007-01-12 00:00:00,0.56
48,2007-01-16 00:00:00,0.56
49,2007-01-17 00:00:00,0.55
50,2007-01-18 00:00:00,0.6
51,2007-01-19 00:00:00,0.55
52,2007-01-22 00:00:00,0.62
53,2007-01-23 00:00:00,0.65
54,2007-01-24 00:00:00,0.58
55,2007-01-25 00:00:00,0.71
56,2007-01-26 00:00:00,0.66
57,2007-01-29 00:00:00,0.6
58,2007-01-30 00:00:00,0.68
59,2007-01-31 00:00:00,0.56
60,2007-02-01 00:00:00,0.57
61,2007-02-02 00:00:00,0.7
62,2007-02-05 00:00:00,0.57
63,2007-02-06 00:00:00,0.55
64,2007-02-07 00:00:00,0.65
65,2007-02-08 00:00:00,0.57
66,2007-02-09 00:00:00,0.68
67,2007-02-12 00:00:00,0.78
68,2007-02-13 00:00:00,0.74
69,2007-02-14 00:00:00,0.67
70,2007-02-15 00:00:00,0.54
71,2007-02-16 00:00:00,0.55
